;Id_sensor;Time;NOx;max_wind10;avg_wind10;max_wind100;avg_wind100;max_humidity;avg_humidity;max_precipitation;avg_precipitation;max_temperature;avg_temperature;min_temperature;k_precipitation;k_wind10;type;area
5;10431;gennaio 16;90.2911290322581;9.5;4.62204301075269;14.5;5.79825268817204;99;70.8588709677419;2.3;0.0744623655913978;15.3;2.04717741935484;-16.9;6;0;B;U
4;10431;febbraio 16;62.278818443804;11.5;4.54985632183908;19.5;6.75833333333333;100;77.3433908045977;3.1;0.185344827586207;18.2;5.29727011494253;-10.4;10;0;B;U
9;10431;marzo 16;34.8318548387097;9.4;4.19287634408602;16.9;6.27137096774194;99;70.5806451612903;4.4;0.115188172043011;15.8;6.2380376344086;-8.1;5;0;B;U
2;10431;aprile 16;23.1480575539568;10.1;4.11694444444444;15.1;6.31361111111111;100;80.7111111111111;3.7;0.194722222222222;20.4;11.7366666666667;4.3;14;0;B;U
8;10431;maggio 16;16.0245255474453;9.3;4.18709677419355;13.7;6.3369623655914;100;76.9583333333333;2.8;0.199193548387097;24.8;15.2137096774194;7.4;11;0;B;U
6;10431;giugno 16;12.0824512534819;9.3;3.63083333333333;13;5.33763888888889;100;83.7291666666667;4.1;0.259444444444444;31.3;19.3779166666667;10;20;0;B;U
7;10431;luglio 16;11.5414598540146;9.1;3.92836021505376;14.4;5.81344086021505;100;79.1236559139785;6.8;0.204838709677419;31;22.610752688172;10.7;12;0;B;U
1;10431;agosto 16;12.3993270524899;8.7;3.58306451612903;15.1;5.12016129032258;100;79.2352150537634;5.7;0.17258064516129;30.9;22.1454301075269;13.1;8;0;B;U
12;10431;settembre 16;19.1536862003781;9;3.51472222222222;13.3;4.94486111111111;100;81.9833333333333;2.2;0.075;27.4;19.4219444444444;9.5;6;0;B;U
11;10431;ottobre 16;37.32;8;3.72782258064516;14.2;5.5510752688172;100;81.3427419354839;4.5;0.133333333333333;22.6;12.7006720430108;2.5;10;0;B;U
10;10431;novembre 16;70.6248062015504;9.4;4.08263888888889;14.8;6.03430555555556;100;81.2875;2.8;0.171527777777778;19.3;8.28847222222222;-1.6;8;0;B;U
